segment_id,unit_id,segment_name,segment_type,anatomical_status,state_policy,verification_status,notes
deltoid_acromial_part,deltoid,Acromial / middle part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
deltoid_spinal_part,deltoid,Spinal / posterior part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
biceps_brachii_long_head,biceps_brachii,Long head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
biceps_brachii_short_head,biceps_brachii,Short head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
triceps_brachii_long_head,triceps_brachii,Long head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
triceps_brachii_lateral_head,triceps_brachii,Lateral head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
triceps_brachii_medial_head,triceps_brachii,Medial head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
pronator_teres_humeral_head,pronator_teres,Humeral head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
pronator_teres_ulnar_head,pronator_teres,Ulnar head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
flexor_carpi_ulnaris_humeral_head,flexor_carpi_ulnaris,Humeral head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
flexor_carpi_ulnaris_ulnar_head,flexor_carpi_ulnaris,Ulnar head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
flexor_digitorum_superficialis_humeroulnar_head,flexor_digitorum_superficialis,Humeroulnar head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
flexor_digitorum_superficialis_radial_head,flexor_digitorum_superficialis,Radial head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
digastric_anterior_belly,digastric,Anterior belly,BELLY,FORMALLY_NAMED_BELLY,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
digastric_posterior_belly,digastric,Posterior belly,BELLY,FORMALLY_NAMED_BELLY,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
omohyoid_superior_belly,omohyoid,Superior belly,BELLY,FORMALLY_NAMED_BELLY,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
omohyoid_inferior_belly,omohyoid,Inferior belly,BELLY,FORMALLY_NAMED_BELLY,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
gluteus_medius_anterior_region,gluteus_medius,Anterior region,FIBRE_REGION,EXPERIMENTALLY_USEFUL_FIBRE_REGION,PROVISIONAL_TRACK,PRIMARY_REGIONAL_SOURCE_PENDING,TA2 does not define anterior/middle/posterior gluteus-medius parts; retain as research/application fibre regions pending dedicated primary-source verification.
gluteus_medius_middle_region,gluteus_medius,Middle region,FIBRE_REGION,EXPERIMENTALLY_USEFUL_FIBRE_REGION,PROVISIONAL_TRACK,PRIMARY_REGIONAL_SOURCE_PENDING,TA2 does not define anterior/middle/posterior gluteus-medius parts; retain as research/application fibre regions pending dedicated primary-source verification.
gluteus_medius_posterior_region,gluteus_medius,Posterior region,FIBRE_REGION,EXPERIMENTALLY_USEFUL_FIBRE_REGION,PROVISIONAL_TRACK,PRIMARY_REGIONAL_SOURCE_PENDING,TA2 does not define anterior/middle/posterior gluteus-medius parts; retain as research/application fibre regions pending dedicated primary-source verification.
adductor_magnus_adductor_part,adductor_magnus,Adductor / pubofemoral part,PART,FORMALLY_NAMED_PART,TRACK,TA2_VERIFIED_STRONG_V0_1,TA2 endnote explicitly distinguishes adductor and ischiocondylar portions by origins insertions and innervations.
adductor_magnus_hamstring_part,adductor_magnus,Hamstring / ischiocondylar part,PART,FORMALLY_NAMED_PART,TRACK,TA2_VERIFIED_STRONG_V0_1,TA2 endnote explicitly distinguishes adductor and ischiocondylar portions by origins insertions and innervations.
biceps_femoris_long_head,biceps_femoris,Long head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
biceps_femoris_short_head,biceps_femoris,Short head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
gastrocnemius_medial_head,gastrocnemius,Medial head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
gastrocnemius_lateral_head,gastrocnemius,Lateral head,HEAD,FORMALLY_NAMED_HEAD,TRACK,SOURCE_SUPPORTED_V0_1,
