profile_id,entity_type,entity_id,variable,selected_source_id,selected_observation_id,mean,sd,unit,selection_status,selection_rule,notes
healthy_adult_male_v0_1,UNIT,supinator,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_supinator,19.55,5.04,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,pronator_teres,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_pronator_teres,43.53,9.73,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,flexor_digitorum_superficialis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_flexor_digitorum_superficialis,78.78,14.50,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,flexor_carpi_ulnaris,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_flexor_carpi_ulnaris,46.06,9.97,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,flexor_digitorum_profundus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_flexor_digitorum_profundus,102.67,21.81,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,flexor_pollicis_longus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_flexor_pollicis_longus,19.40,4.24,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,pronator_quadratus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_pronator_quadratus,9.59,2.13,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,latissimus_dorsi,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_latissimus_dorsi,496.93,115.26,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,multifidus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_multifidus,222.84,32.90,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,rectus_abdominis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_rectus_abdominis,278.53,68.74,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,external_oblique,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_external_oblique,202.79,34.12,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,quadratus_lumborum,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_quadratus_lumborum,66.97,11.26,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,psoas_major,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_psoas_major,302.45,52.07,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,iliacus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_iliacus,201.40,31.60,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,gluteus_medius,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_gluteus_medius,377.48,64.39,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,gluteus_maximus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_gluteus_maximus,1017.08,212.65,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,gluteus_minimus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_gluteus_minimus,110.24,19.65,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,piriformis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_piriformis,42.89,9.20,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,quadratus_femoris,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_quadratus_femoris,31.34,7.63,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,rectus_femoris,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_rectus_femoris,300.16,69.32,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,vastus_lateralis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_vastus_lateralis,1070.58,202.07,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,vastus_medialis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_vastus_medialis,549.26,117.07,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,vastus_intermedius,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_vastus_intermedius,293.76,71.82,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,sartorius,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_sartorius,180.24,35.87,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,adductor_brevis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_adductor_brevis,110.43,22.75,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,adductor_magnus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_adductor_magnus,663.34,161.95,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,adductor_longus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_adductor_longus,191.86,37.43,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,gracilis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_gracilis,117.85,31.22,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,semitendinosus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_semitendinosus,213.84,50.02,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,semimembranosus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_semimembranosus,266.87,55.72,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,SEGMENT,biceps_femoris_long_head,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_biceps_femoris_long,225.45,42.86,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,SEGMENT,biceps_femoris_short_head,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_biceps_femoris_short,113.77,28.11,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,popliteus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_popliteus,21.01,3.60,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,SEGMENT,gastrocnemius_medial_head,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_gastro_medial,266.93,56.44,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,SEGMENT,gastrocnemius_lateral_head,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_gastro_lateral,157.11,28.14,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,soleus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_soleus,463.35,82.97,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
